Date,Open,High,Low,Close,Volume
21/11/2002,1.203209,1.203975,1.17332,1.187115,495631
22/11/2002,1.218536,1.218536,1.180217,1.184049,464524
25/11/2002,1.149562,1.199377,1.149562,1.180217,455560
26/11/2002,1.207041,1.207041,1.187881,1.192479,462736
27/11/2002,1.172554,1.197844,1.172554,1.195545,448540
28/11/2002,1.195545,1.196311,1.184049,1.187115,453641
29/11/2002,1.149562,1.210106,1.149562,1.186348,477885
02/12/2002,1.172554,1.218536,1.172554,1.187115,362589
03/12/2002,1.177152,1.202442,1.149562,1.174086,308556
04/12/2002,1.142665,1.16489,1.142665,1.149562,308399
05/12/2002,1.142665,1.187881,1.142665,1.177152,308021
06/12/2002,1.186348,1.191713,1.165656,1.178685,296590
09/12/2002,1.182517,1.19018,1.150329,1.16489,303441
10/12/2002,1.180217,1.180217,1.142665,1.147263,314336
11/12/2002,1.163357,1.180217,1.134235,1.152628,305085
12/12/2002,1.019279,1.149562,1.011615,1.131936,714140
13/12/2002,1.126571,1.152628,1.126571,1.1396,338763
16/12/2002,1.141899,1.172554,1.126571,1.151862,327215
17/12/2002,1.149562,1.149562,1.12044,1.12044,141249
18/12/2002,1.126571,1.146497,1.111244,1.118907,308034
19/12/2002,1.148796,1.148796,1.12044,1.130403,303297
20/12/2002,1.124272,1.140366,1.124272,1.129637,297139
23/12/2002,1.11201,1.12887,1.11201,1.122739,302345
24/12/2002,1.101281,1.125805,1.098982,1.108945,406980
25/12/2002,1.108945,1.108945,1.108945,1.108945,0
26/12/2002,1.119674,1.127338,1.105879,1.117375,148921
27/12/2002,1.141899,1.141899,1.111244,1.113543,439014
30/12/2002,1.115842,1.122739,1.105113,1.111244,137334
31/12/2002,1.125038,1.125805,1.095916,1.104346,433429
01/01/2003,1.096683,1.115076,1.096683,1.106645,404318
02/01/2003,1.108178,1.111244,1.105113,1.109711,407763
03/01/2003,1.118907,1.125805,1.104346,1.110477,410308
06/01/2003,1.118907,1.118907,1.097449,1.102814,404762
07/01/2003,1.10358,1.111244,1.094383,1.105113,407737
08/01/2003,1.115842,1.117375,1.090552,1.101281,439223
09/01/2003,1.118141,1.118141,1.088252,1.097449,404436
10/01/2003,1.092084,1.117375,1.088252,1.093617,406954
13/01/2003,1.092851,1.099748,1.080589,1.082888,403966
14/01/2003,1.092084,1.095916,1.088252,1.093617,405649
15/01/2003,1.096683,1.10358,1.092084,1.097449,405962
16/01/2003,1.085953,1.094383,1.085953,1.089785,411560
17/01/2003,1.092851,1.102814,1.089019,1.093617,404318
20/01/2003,1.066794,1.098982,1.066794,1.087486,430063
21/01/2003,1.088252,1.095916,1.082121,1.088252,498280
22/01/2003,1.065261,1.092084,1.065261,1.088252,421438
23/01/2003,1.088252,1.090552,1.081355,1.085953,432490
24/01/2003,1.088252,1.088252,1.058364,1.06756,401983
27/01/2003,1.035373,1.057597,1.017746,1.023111,409655
28/01/2003,1.038438,1.049934,1.022344,1.046868,409499
29/01/2003,1.049934,1.049934,1.027709,1.036139,408716
30/01/2003,1.026942,1.038438,1.020811,1.026942,463558
31/01/2003,0.997054,1.035373,0.997054,1.01698,461053
03/02/2003,1.004718,1.03384,1.003951,1.024643,468725
04/02/2003,1.030774,1.034606,1.011615,1.013148,459213
05/02/2003,1.019279,1.019279,1.000119,1.004718,459044
06/02/2003,1.013914,1.01468,1.003185,1.011615,453498
07/02/2003,1.007783,1.010849,0.996287,0.998587,460166
10/02/2003,0.98939,1.003951,0.957969,0.99782,548660
11/02/2003,0.996287,1.003951,0.981726,0.993988,469939
12/02/2003,0.996287,1.007783,0.988624,0.997054,463323
13/02/2003,0.997054,0.997054,0.997054,0.997054,0
14/02/2003,0.99782,1.000886,0.988624,0.991689,467121
17/02/2003,0.996287,1.015447,0.993988,0.994755,490869
18/02/2003,1.007783,1.010082,0.996287,0.996287,457713
19/02/2003,1.011615,1.038438,0.995521,0.999353,457686
20/02/2003,0.997054,1.003185,0.992456,0.993988,459513
21/02/2003,1.000119,1.000119,0.993988,0.997054,439601
24/02/2003,0.981726,1.001652,0.981726,0.99782,451971
25/02/2003,1.003185,1.003185,0.995521,0.996287,459839
26/02/2003,0.998587,1.000119,0.995521,0.998587,438101
27/02/2003,0.996287,1.003951,0.995521,1.000119,444038
28/02/2003,1.003185,1.033073,0.993222,0.996287,493387
03/03/2003,1.002418,1.002418,0.990156,0.996287,472718
04/03/2003,0.997054,1.003185,0.993222,0.995521,460609
05/03/2003,0.996287,1.002418,0.992456,0.999353,460296
06/03/2003,0.999353,1.003185,0.993222,0.996287,453889
07/03/2003,0.996287,0.996287,0.984025,0.987091,460870
10/03/2003,0.98096,0.981726,0.977128,0.979427,331299
11/03/2003,0.988624,0.988624,0.975595,0.978661,457282
12/03/2003,0.988624,0.988624,0.934977,0.977894,805741
13/03/2003,1.019279,1.019279,0.974829,0.979427,463493
14/03/2003,0.979427,0.979427,0.979427,0.979427,0
17/03/2003,0.98096,0.98096,0.973296,0.976362,518127
18/03/2003,0.976362,0.976362,0.976362,0.976362,0
19/03/2003,0.980194,0.98939,0.965632,0.966399,212702
20/03/2003,0.971763,0.980194,0.967165,0.975595,453994
21/03/2003,0.987857,0.987857,0.965632,0.977128,448670
24/03/2003,0.973296,0.973296,0.957969,0.957969,165950
25/03/2003,0.959501,0.959501,0.942641,0.945707,143297
26/03/2003,0.957969,0.957969,0.941108,0.946473,252826
27/03/2003,0.946473,0.950305,0.942641,0.94494,464589
28/03/2003,0.92808,0.951071,0.92808,0.944174,453028
31/03/2003,0.945707,0.946473,0.929613,0.941108,689675
01/04/2003,0.935744,0.946473,0.934977,0.940342,462358
02/04/2003,0.960268,0.960268,0.940342,0.948772,477207
03/04/2003,0.957969,0.957969,0.938809,0.945707,484044
04/04/2003,0.956436,0.956436,0.938809,0.940342,453367
07/04/2003,0.94494,0.951071,0.942641,0.946473,455912
08/04/2003,0.942641,0.948006,0.939576,0.939576,138965
09/04/2003,0.950305,0.950305,0.937276,0.943407,148908
10/04/2003,0.942641,0.944174,0.91965,0.91965,150787
11/04/2003,0.941875,0.941875,0.920416,0.931145,138822
